system   D            wsystem.c:583  maybe_parent_dir                 [   0.00048] Also searching C:\Users\tjarvis91\Documents\SuperGame\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00067] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00068] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00289] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.02969] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.02972] Allegro version: 5.0.10
dtor     D               dtor.c:184  _al_register_destructor          [   0.03064] added dtor for object 02D93D80, func 0FB324CD
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.03146] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.03147] al_display=02CE7A80
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.03148] al_display->vt=02D93F00
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.05400] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.05403] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05404] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05405] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05406] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05406] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05407] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.05408] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05409] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.05409] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05410] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.05411] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05412] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.05412] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.05413] Score is : 714
